,Album,Artist,ReleaseDate,Duration,AlbumURL
411,Get Crazy [Video],Various,1983,?,https://www.allmusic.com/album/get-crazy-video--mw0001076615
412,For to Next/And Not Or,Steve Hillage,1983,01:18:39,https://www.allmusic.com/album/for-to-next-and-not-or-mw0000690804
413,Baby Snakes,Frank Zappa,"March, 1983",36:20,https://www.allmusic.com/album/baby-snakes-mw0000197268
414,The Name of This Band Is Talking Heads,Talking Heads,"March 24, 1982",02:36:28,https://www.allmusic.com/album/the-name-of-this-band-is-talking-heads-mw0000199932
415,The Arrangement,Ryuichi Sakamoto / Robin Scott,1982,37:41,https://www.allmusic.com/album/the-arrangement-mw0000949417
416,Sheffield Steel,Joe Cocker,"May 22, 1982",38:19,https://www.allmusic.com/album/sheffield-steel-mw0000644514
417,Maybe It's Live,Robert Palmer,1982,36:30,https://www.allmusic.com/album/maybe-its-live-mw0000054525
418,Lone Rhino,Adrian Belew,"July, 1982",36:33,https://www.allmusic.com/album/lone-rhino-mw0000691303
419,Beat,King Crimson,"June 18, 1982",35:21,https://www.allmusic.com/album/beat-mw0000194479
420,Untitled Picture Disc,Frank Zappa,1981,?,https://www.allmusic.com/album/untitled-picture-disc-mw0000973180
421,Tom Tom Club,Tom Tom Club,"October, 1981",02:12:57,https://www.allmusic.com/album/tom-tom-club-mw0000651118
422,The Red and the Black,Jerry Harrison,1981,40:32,https://www.allmusic.com/album/the-red-and-the-black-mw0000846336
423,The Catherine Wheel,David Byrne,"cember, 1981",01:08:53,https://www.allmusic.com/album/the-catherine-wheel-mw0000196850
424,Magic Windows,Herbie Hancock,1981,42:43,https://www.allmusic.com/album/magic-windows-mw0000532689
425,Left Handed Dream,Ryuichi Sakamoto,1981,01:27:25,https://www.allmusic.com/album/left-handed-dream-mw0000542985
426,Genius of Love,Tom Tom Club,1981,?,https://www.allmusic.com/album/genius-of-love-mw0000973936
427,Escape Artist,Garland Jeffreys,1981,57:24,https://www.allmusic.com/album/escape-artist-mw0000310354
428,Discipline,King Crimson,"September 22, 1981",38:08,https://www.allmusic.com/album/discipline-mw0000196148
429,Changestwobowie,David Bowie,1981,42:37,https://www.allmusic.com/album/changestwobowie-mw0000836700
430,Another Face,David Bowie,1981,?,https://www.allmusic.com/album/another-face-mw0000852105
431,Remain in Light,Talking Heads,"October 8, 1980",39:48,https://www.allmusic.com/album/remain-in-light-mw0000192118
432,Tiny Nightmares,Frank Zappa,1979,?,https://www.allmusic.com/album/tiny-nightmares-mw0001013571
433,Sheik Yerbouti,Frank Zappa,"March 3, 1979",01:10:22,https://www.allmusic.com/album/sheik-yerbouti-mw0000204098
434,Lodger,David Bowie,1979,45:41,https://www.allmusic.com/album/lodger-mw0000251982
435,Wax Flags,Frank Zappa,1978,?,https://www.allmusic.com/album/wax-flags-mw0001892195
436,Stage,David Bowie,1978,01:17:17,https://www.allmusic.com/album/stage-mw0000193055
437,Paul Simon,Paul Simon,"January, 1972",34:03,https://www.allmusic.com/album/paul-simon-mw0000197568
438,The Music Emporium,The Music Emporium,1969,46:14,https://www.allmusic.com/album/the-music-emporium-mw0000012821
439,Caught in the Blue Light,Bill Wolfer,1963,01:05:44,https://www.allmusic.com/album/caught-in-the-blue-light-mw0000310993
440,Am I That Easy to Forget?,Debbie Reynolds,1960,27:15,https://www.allmusic.com/album/am-i-that-easy-to-forget--mw0003365894
441,Yogi Translations of Mariah Carey,Yoga Pop Ups,?,?,https://www.allmusic.com/album/yogi-translations-of-mariah-carey-mw0003584804
442,Years In the Garden of Years,Edensong,?,01:10:56,https://www.allmusic.com/album/years-in-the-garden-of-years-mw0002969502
443,UniKuE,UniKuE,?,28:18,https://www.allmusic.com/album/unikue-mw0003137340
444,Unholy Triad,Kevin Max,?,?,https://www.allmusic.com/album/unholy-triad-mw0002160880
445,Too Much Happiness: A Romantic's Guide to King Crimson,The Mastelottos,?,56:11,https://www.allmusic.com/album/too-much-happiness-a-romantics-guide-to-king-crimson-mw0003474362
446,The Many Faces of King Crimson,Various,?,02:40:33,https://www.allmusic.com/album/the-many-faces-of-king-crimson-mw0002956256
447,The Many Faces of David Bowie,Various,?,02:40:23,https://www.allmusic.com/album/the-many-faces-of-david-bowie-mw0002911224
448,The Everlasting Songs: An All Star Tribute to Pink Floyd,Various,?,59:44,https://www.allmusic.com/album/the-everlasting-songs-an-all-star-tribute-to-pink-floyd-mw0002807705
449,The  Time Is Now!,Various,?,58:11,https://www.allmusic.com/album/the-time-is-now%21-mw0002988792
450,Suffragette City,David Bowie,?,?,https://www.allmusic.com/album/suffragette-city-mw0002227283
451,"Smooth Rock: Yacht Rock, Easy Listening and Rock Ballads",Various,?,03:33:32,https://www.allmusic.com/album/smooth-rock-yacht-rock-easy-listening-and-rock-ballads-mw0003389514
452,Smash Hits: Punk and New Wave,Various,?,?,https://www.allmusic.com/album/smash-hits-punk-and-new-wave-mw0003061843
453,"Saratogo Psycho: US, 1973",Talking Heads,?,01:19:10,https://www.allmusic.com/album/saratogo-psycho-us-1973-mw0002844788
454,Roots of Pink Floyd,Various,?,?,https://www.allmusic.com/album/roots-of-pink-floyd-mw0002825437
455,Piper,Adrian Belew,?,05:43,https://www.allmusic.com/album/piper-mw0002966042
456,Party Tyme Karaoke: Variety Female Hits 1,Party Tyme Karaoke,?,05:20:36,https://www.allmusic.com/album/party-tyme-karaoke-variety-female-hits-1-mw0003314815
457,Pacific 231,Raphaël Haroche / Raphaël,?,41:16,https://www.allmusic.com/album/pacific-231-mw0002042092
458,Official Bootleg Live 2012,The Crimson Projekct,?,45:43,https://www.allmusic.com/album/official-bootleg-live-2012-mw0002557269
459,New Peace,Troy Jones,?,?,https://www.allmusic.com/album/new-peace-mw0002777913
460,Native Sons,Nonch Harpin',?,01:06:02,https://www.allmusic.com/album/native-sons-mw0003015382
461,Make Me an Island: The Pye Anthology,Joe Dolan,?,02:30:35,https://www.allmusic.com/album/make-me-an-island-the-pye-anthology-mw0002272262
462,MBM Performs Mariah Carey,Music Box Mania,?,?,https://www.allmusic.com/album/mbm-performs-mariah-carey-mw0003586391
463,Lullaby Versions of Mariah Carey,Twinkle Twinkle Little Rock Star,?,?,https://www.allmusic.com/album/lullaby-versions-of-mariah-carey-mw0003588475
464,Live in Tokyo,The Crimson Projekct,?,01:16:52,https://www.allmusic.com/album/live-in-tokyo-mw0002616350
465,Live in Berlin [1978],David Bowie,?,?,https://www.allmusic.com/album/live-in-berlin-1978--mw0003110901
466,"Hits of Mariah Carey, Vol. 1",Various,?,01:08:23,https://www.allmusic.com/album/hits-of-mariah-carey-vol-1-mw0000447551
467,Halloween in The Big Apple,Frank Zappa,?,47:35,https://www.allmusic.com/album/halloween-in-the-big-apple-mw0002828984
468,Guitar Monsters of Rock,Various,?,03:04:27,https://www.allmusic.com/album/guitar-monsters-of-rock-mw0002719341
469,Gizmodrome Live,Adrian Belew / Stewart Copeland / Vittorio Cosma / Mark King,?,?,https://www.allmusic.com/album/gizmodrome-live-mw0003583156
470,From Space and Beyond,Tim Reynolds / TR3,?,02:04:39,https://www.allmusic.com/album/from-space-and-beyond-mw0002331018
471,Free Guy [Music From the Motion Picture],Various,?,43:47,https://www.allmusic.com/album/free-guy-music-from-the-motion-picture--mw0003575716
472,Dubstep Side of the Moon,Various,?,50:27,https://www.allmusic.com/album/dubstep-side-of-the-moon-mw0002577640
473,Crimson!,Delta Saxophone Quartet,?,44:18,https://www.allmusic.com/album/crimson%21-mw0002907692
474,Classic Rock [Rhino],Various,?,03:18:25,https://www.allmusic.com/album/classic-rock-rhino--mw0003382310
475,"Billboard Karaoke: Top 10 Box Set, Vol. 7",Various,?,02:30:03,https://www.allmusic.com/album/billboard-karaoke-top-10-box-set-vol-7-mw0003200151
476,"Billboard 90s, Vol. 7",Various,?,39:11,https://www.allmusic.com/album/billboard-90s-vol-7-mw0003200328
477,Big Energy,Mia Love,?,?,https://www.allmusic.com/album/big-energy-mw0003696980
478,"A Little on the CD Side, Vol. 5",Various,?,01:14:02,https://www.allmusic.com/album/a-little-on-the-cd-side-vol-5-mw0001445188
479,80s Smash Hits [Rhino],Various,?,03:26:37,https://www.allmusic.com/album/80s-smash-hits-rhino--mw0003384999
480,80s Party: Ultimate Eighties Throwback Classics,Various,?,03:17:39,https://www.allmusic.com/album/80s-party-ultimate-eighties-throwback-classics-mw0003382306
481,"60s, 70s, 80s, 90s Oldies",Various,?,04:52:38,https://www.allmusic.com/album/60s-70s-80s-90s-oldies-mw0003402232
482,100 Greatest Golden Oldies,Various,?,05:46:07,https://www.allmusic.com/album/100-greatest-golden-oldies-mw0003397231
483,100 Greatest 80s: Ultimate 80s Throwback Anthems,Various,?,06:53:48,https://www.allmusic.com/album/100-greatest-80s-ultimate-80s-throwback-anthems-mw0003397237
